airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Indigo,2019-06-09,Kolkata,Banglore,,10:20:00,240,1.0,No Info,4226
Jet Airways,2019-05-09,Kolkata,Banglore,,,730,1.0,In-flight meal not included,9663
Indigo,2019-06-18,Delhi,Cochin,,08:50:00,195,0.0,No Info,5000
Jet Airways,2019-03-15,Banglore,New Delhi,,15:15:00,435,1.0,In-flight meal not included,9134
Vistara,2019-06-21,Delhi,Cochin,,09:10:00,190,0.0,No Info,6216
Air Asia,2019-06-03,Delhi,Cochin,,15:45:00,470,1.0,No Info,8759
Indigo,2019-03-27,Delhi,Cochin,,16:10:00,570,1.0,No Info,6442
Jet Airways,2019-05-01,Kolkata,Banglore,,,800,1.0,No Info,11467
Jet Airways,2019-05-01,Kolkata,Banglore,,,1745,1.0,No Info,14151
Jet Airways,2019-05-18,Delhi,Cochin,,,1390,2.0,No Info,15129
Jet Airways,2019-06-06,Delhi,Cochin,,,1680,1.0,No Info,14714
Multiple Carriers,2019-06-03,Delhi,Cochin,,22:30:00,765,1.0,No Info,9646
Air India,2019-06-09,Delhi,Cochin,,,1560,2.0,No Info,12199
Indigo,2019-03-18,Kolkata,Banglore,,12:55:00,165,0.0,No Info,4462
Jet Airways,2019-06-24,Delhi,Cochin,,19:00:00,450,1.0,No Info,14714
Jet Airways,2019-03-21,Banglore,New Delhi,,23:00:00,900,1.0,In-flight meal not included,7832
Jet Airways,2019-05-18,Kolkata,Banglore,,20:45:00,740,1.0,In-flight meal not included,10844
Indigo,2019-03-21,Banglore,New Delhi,,03:25:00,165,0.0,No Info,4944
Air India,2019-03-18,Kolkata,Banglore,,23:20:00,155,0.0,No Info,4435
Indigo,2019-03-01,Mumbai,Hyderabad,,04:00:00,90,0.0,No Info,16000
Jet Airways,2019-05-21,Banglore,Delhi,,22:00:00,185,0.0,No Info,7229
Indigo,2019-05-09,Delhi,Cochin,,20:00:00,290,1.0,No Info,6147
Vistara,2019-06-06,Kolkata,Banglore,,,1625,1.0,No Info,9345
Jet Airways,2019-05-18,Delhi,Cochin,,,1375,2.0,No Info,15129
Jet Airways,2019-05-15,Kolkata,Banglore,,17:35:00,435,1.0,In-flight meal not included,5608
Indigo,2019-03-06,Delhi,Cochin,,21:20:00,765,2.0,No Info,7682
Jet Airways,2019-05-18,Delhi,Cochin,,,1390,2.0,No Info,16704
Multiple Carriers,2019-06-01,Delhi,Cochin,,22:30:00,555,1.0,No Info,9646
Jet Airways,2019-05-12,Kolkata,Banglore,,,1285,1.0,In-flight meal not included,10844
Spicejet,2019-03-15,Banglore,New Delhi,,12:30:00,175,0.0,No check-in baggage included,6205
Indigo,2019-03-24,Chennai,Kolkata,,07:35:00,140,0.0,No Info,4326
Jet Airways,2019-03-21,Delhi,Cochin,,18:50:00,485,2.0,No Info,11360
Indigo,2019-05-01,Mumbai,Hyderabad,,21:40:00,95,0.0,No Info,2227
Jet Airways,2019-04-01,Kolkata,Banglore,,,800,1.0,No Info,14151
Jet Airways,2019-05-27,Banglore,Delhi,,08:45:00,165,0.0,No Info,7229
Indigo,2019-03-18,Banglore,New Delhi,,17:05:00,295,1.0,No Info,4410
Jet Airways,2019-06-09,Delhi,Cochin,,19:00:00,810,2.0,No Info,13014
Jet Airways,2019-06-06,Delhi,Cochin,,,1280,1.0,In-flight meal not included,10262
Indigo,2019-06-12,Mumbai,Hyderabad,,18:25:00,90,0.0,No Info,3175
Vistara,2019-06-01,Delhi,Cochin,,09:10:00,190,0.0,No Info,6741
Air India,2019-06-18,Delhi,Cochin,,21:10:00,185,0.0,No Info,5201
Indigo,2019-06-18,Mumbai,Hyderabad,,04:05:00,90,0.0,No Info,2754
Jet Airways,2019-05-21,Banglore,Delhi,,10:10:00,180,0.0,In-flight meal not included,4030
Indigo,2019-04-06,Banglore,Delhi,,13:20:00,170,0.0,No Info,4423
Jet Airways,2019-03-06,Banglore,New Delhi,,,1555,1.0,No Info,14815
Indigo,2019-03-06,Chennai,Kolkata,,15:35:00,135,0.0,No Info,7295
Vistara,2019-06-12,Delhi,Cochin,,17:50:00,190,0.0,No Info,6216
Indigo,2019-04-01,Banglore,Delhi,,22:50:00,170,0.0,No Info,4823
Jet Airways,2019-05-09,Delhi,Cochin,,,1125,2.0,In-flight meal not included,13029
Jet Airways,2019-05-21,Delhi,Cochin,,,450,1.0,No Info,16079
Jet Airways,2019-03-21,Delhi,Cochin,,,1365,2.0,No Info,11543
Jet Airways,2019-03-12,Banglore,New Delhi,,,850,1.0,In-flight meal not included,11087
Air India,2019-05-15,Kolkata,Banglore,,,965,1.0,No Info,6117
Jet Airways,2019-03-24,Kolkata,Banglore,,,725,1.0,No Info,14231
Jet Airways,2019-03-24,Kolkata,Banglore,,16:20:00,590,1.0,No Info,13339
Indigo,2019-04-27,Kolkata,Banglore,,07:15:00,155,0.0,No Info,4804
Jet Airways,2019-05-09,Kolkata,Banglore,,,1080,1.0,No Info,11467
Jet Airways,2019-05-06,Banglore,Delhi,,08:45:00,165,0.0,In-flight meal not included,5198
Air India,2019-06-06,Kolkata,Banglore,,,1165,2.0,No Info,12009
Air India,2019-05-18,Kolkata,Banglore,,,1100,2.0,No Info,13243
Spicejet,2019-06-18,Kolkata,Banglore,,11:25:00,145,0.0,No Info,3873
Indigo,2019-05-15,Delhi,Cochin,,21:00:00,625,1.0,No Info,6979
Jet Airways,2019-05-09,Delhi,Cochin,,,1225,1.0,In-flight meal not included,12373
Indigo,2019-05-27,Banglore,Delhi,,15:50:00,170,0.0,No Info,3943
Indigo,2019-05-09,Chennai,Kolkata,,14:00:00,145,0.0,No Info,4332
Indigo,2019-04-27,Delhi,Cochin,,,345,1.0,No Info,6307
Indigo,2019-06-09,Kolkata,Banglore,,20:30:00,320,1.0,No Info,7095
Goair,2019-06-24,Banglore,Delhi,,23:40:00,165,0.0,No Info,3419
Air India,2019-05-12,Kolkata,Banglore,,,920,2.0,No Info,13243
Multiple Carriers,2019-06-12,Delhi,Cochin,,21:00:00,660,1.0,No Info,13587
Jet Airways,2019-04-01,Kolkata,Banglore,,,735,1.0,In-flight meal not included,7064
Jet Airways,2019-05-01,Kolkata,Banglore,,,1315,1.0,In-flight meal not included,9663
Air India,2019-05-27,Delhi,Cochin,,,1855,2.0,No Info,12488
Goair,2019-04-24,Delhi,Cochin,,13:35:00,370,1.0,No Info,4692
Air Asia,2019-05-21,Kolkata,Banglore,,,150,0.0,No Info,4107
Jet Airways,2019-05-12,Kolkata,Banglore,,19:50:00,685,1.0,In-flight meal not included,8586
Jet Airways,2019-03-21,Banglore,New Delhi,,16:10:00,435,1.0,In-flight meal not included,7832
Indigo,2019-04-15,Banglore,Delhi,,03:25:00,175,0.0,No Info,4284
Multiple Carriers,2019-06-27,Delhi,Cochin,,,390,1.0,No Info,6795
Multiple Carriers,2019-05-18,Delhi,Cochin,,21:00:00,840,1.0,No Info,8073
Indigo,2019-04-01,Delhi,Cochin,,12:10:00,275,1.0,No Info,5073
Jet Airways,2019-06-06,Delhi,Cochin,,,1375,2.0,In-flight meal not included,10368
Jet Airways,2019-05-06,Kolkata,Banglore,,,1330,1.0,In-flight meal not included,8586
Jet Airways,2019-05-27,Delhi,Cochin,,19:00:00,450,1.0,In-flight meal not included,9732
Jet Airways,2019-06-15,Delhi,Cochin,,,1375,2.0,No Info,13014
Jet Airways,2019-06-09,Kolkata,Banglore,,,1500,1.0,No Info,14151
Indigo,2019-03-06,Kolkata,Banglore,,19:55:00,160,0.0,No Info,5618
Indigo,2019-06-09,Delhi,Cochin,,22:30:00,895,1.0,No Info,6442
Indigo,2019-06-06,Banglore,Delhi,,21:50:00,175,0.0,No Info,4990
Jet Airways,2019-05-12,Kolkata,Banglore,,,800,1.0,No Info,14151
Multiple Carriers,2019-03-09,Delhi,Cochin,,12:55:00,640,1.0,In-flight meal not included,18260
Air India,2019-03-06,Delhi,Cochin,,,1565,1.0,No Info,11038
Indigo,2019-06-03,Delhi,Cochin,,12:10:00,275,1.0,No Info,6069
Indigo,2019-04-24,Banglore,Delhi,,,170,0.0,No Info,3943
Jet Airways,2019-06-06,Delhi,Cochin,,,1680,1.0,In-flight meal not included,10262
Jet Airways,2019-04-09,Banglore,Delhi,,08:45:00,165,0.0,No Info,7229
Air India,2019-06-15,Delhi,Cochin,,,1245,2.0,No Info,11753
Indigo,2019-06-21,Mumbai,Hyderabad,,04:05:00,90,0.0,No Info,2754
Indigo,2019-03-18,Delhi,Cochin,,,195,0.0,No Info,5021
Jet Airways,2019-05-27,Delhi,Cochin,,,1280,1.0,In-flight meal not included,12898
Jet Airways,2019-06-12,Delhi,Cochin,,12:35:00,425,2.0,In-flight meal not included,13344
Spicejet,2019-06-12,Delhi,Cochin,,22:50:00,295,1.0,No Info,4957
Jet Airways,2019-04-01,Kolkata,Banglore,,16:20:00,590,1.0,In-flight meal not included,7851
Multiple Carriers,2019-05-27,Delhi,Cochin,,19:15:00,630,1.0,No Info,10051
Jet Airways,2019-05-18,Kolkata,Banglore,,,865,1.0,No Info,14388
Spicejet,2019-03-24,Banglore,New Delhi,,23:20:00,170,0.0,No check-in baggage included,5469
Jet Airways,2019-06-15,Mumbai,Hyderabad,,11:50:00,90,0.0,In-flight meal not included,4050
Jet Airways,2019-05-21,Delhi,Cochin,,,810,2.0,No Info,15129
Jet Airways,2019-06-24,Delhi,Cochin,,,1375,2.0,In-flight meal not included,10368
Air India,2019-04-01,Kolkata,Banglore,,,920,2.0,No Info,10408
Multiple Carriers,2019-03-21,Delhi,Cochin,,21:00:00,570,1.0,No Info,13062
Air India,2019-05-01,Banglore,Delhi,,16:10:00,170,0.0,No Info,6121
Indigo,2019-06-09,Delhi,Cochin,,10:05:00,295,1.0,No Info,6496
Jet Airways,2019-06-09,Kolkata,Banglore,,,1585,1.0,In-flight meal not included,10844
Indigo,2019-06-06,Banglore,Delhi,,04:15:00,165,0.0,No Info,3943
Jet Airways,2019-05-01,Mumbai,Hyderabad,,08:30:00,85,0.0,In-flight meal not included,4995
Jet Airways,2019-03-06,Delhi,Cochin,,18:50:00,705,1.0,No Info,17234
Air India,2019-03-03,Mumbai,Hyderabad,,22:25:00,80,0.0,No Info,4937
Indigo,2019-06-12,Delhi,Cochin,,,305,1.0,No Info,10112
Air India,2019-06-01,Banglore,Delhi,,12:45:00,165,0.0,No Info,6961
Indigo,2019-05-06,Banglore,Delhi,,03:25:00,175,0.0,No Info,4284
Multiple Carriers,2019-03-03,Delhi,Cochin,,18:50:00,580,1.0,No Info,15135
Multiple Carriers,2019-06-15,Delhi,Cochin,,21:00:00,835,1.0,No Info,13587
Jet Airways,2019-06-03,Delhi,Cochin,,,1295,2.0,In-flight meal not included,11507
Multiple Carriers,2019-03-09,Delhi,Cochin,,21:00:00,740,1.0,No Info,18228
Jet Airways,2019-05-09,Delhi,Cochin,,19:00:00,715,1.0,In-flight meal not included,12373
Multiple Carriers,2019-06-01,Delhi,Cochin,,12:35:00,525,1.0,No Info,12192
Indigo,2019-06-03,Mumbai,Hyderabad,,10:40:00,90,0.0,No Info,4049
Jet Airways,2019-05-18,Kolkata,Banglore,,,1450,1.0,No Info,14151
Multiple Carriers,2019-03-27,Delhi,Cochin,,19:15:00,755,1.0,No Info,9100
Air India,2019-03-03,Delhi,Cochin,,19:15:00,675,1.0,No Info,15197
Air India,2019-06-18,Mumbai,Hyderabad,,15:25:00,90,0.0,No Info,3100
Multiple Carriers,2019-03-27,Delhi,Cochin,,18:50:00,590,1.0,No Info,11667
Air India,2019-06-03,Delhi,Cochin,,19:15:00,925,1.0,No Info,8669
Indigo,2019-04-09,Kolkata,Banglore,,20:05:00,290,1.0,No Info,4268
Indigo,2019-03-01,Banglore,New Delhi,,19:45:00,170,0.0,No Info,12649
Jet Airways,2019-06-27,Delhi,Cochin,,12:35:00,425,2.0,In-flight meal not included,13344
Multiple Carriers,2019-06-03,Delhi,Cochin,,19:00:00,585,1.0,No Info,11622
Jet Airways,2019-06-06,Kolkata,Banglore,,,1500,1.0,No Info,12692
Air India,2019-05-24,Mumbai,Hyderabad,,16:25:00,85,0.0,No Info,3100
Vistara,2019-05-27,Chennai,Kolkata,,20:05:00,140,0.0,No Info,11982
Air India,2019-05-12,Kolkata,Banglore,,,1410,2.0,No Info,13437
Air India,2019-04-01,Kolkata,Banglore,,,920,2.0,No Info,10408
Air India,2019-06-06,Delhi,Cochin,,19:15:00,675,1.0,No Info,8372
Multiple Carriers,2019-06-15,Delhi,Cochin,,19:00:00,660,1.0,No Info,12192
Air Asia,2019-03-09,Kolkata,Banglore,,22:05:00,150,0.0,No Info,4384
Indigo,2019-04-24,Kolkata,Banglore,,19:50:00,155,0.0,No Info,4804
Jet Airways,2019-05-24,Kolkata,Banglore,,18:00:00,505,1.0,No Info,14151
Spicejet,2019-04-09,Kolkata,Banglore,,20:20:00,315,1.0,No Info,4649
Spicejet,2019-03-15,Kolkata,Banglore,,19:45:00,150,0.0,No check-in baggage included,3815
Multiple Carriers,2019-05-27,Delhi,Cochin,,21:00:00,720,1.0,No Info,7618
Spicejet,2019-06-09,Delhi,Cochin,,22:05:00,380,1.0,No Info,6297
Vistara,2019-06-12,Banglore,Delhi,,19:35:00,155,0.0,No Info,4878
Indigo,2019-04-09,Banglore,Delhi,,21:20:00,175,0.0,No Info,4823
Jet Airways,2019-06-15,Delhi,Cochin,,,1015,1.0,In-flight meal not included,10262
Jet Airways,2019-03-12,Banglore,New Delhi,,12:15:00,390,1.0,No Info,17524
Air India,2019-05-09,Kolkata,Banglore,,,765,2.0,No Info,11432
Jet Airways,2019-05-09,Kolkata,Banglore,,16:20:00,475,1.0,No Info,13941
Multiple Carriers,2019-06-12,Delhi,Cochin,,22:30:00,565,1.0,No Info,9646
Vistara,2019-05-21,Kolkata,Banglore,,,765,1.0,No Info,8452
Spicejet,2019-06-21,Banglore,Delhi,,08:35:00,160,0.0,No Info,3971
Air India,2019-03-15,Banglore,New Delhi,,23:15:00,865,1.0,No Info,8714
Indigo,2019-03-01,Banglore,New Delhi,,,170,0.0,No Info,10067
Air India,2019-05-06,Kolkata,Banglore,,,920,2.0,No Info,13873
Jet Airways,2019-06-12,Kolkata,Banglore,,12:00:00,330,1.0,No Info,13626
Air India,2019-06-06,Delhi,Cochin,,,2280,3.0,No Info,10703
Multiple Carriers,2019-06-15,Delhi,Cochin,,19:00:00,690,1.0,No Info,10877
Air India,2019-06-15,Delhi,Cochin,,,1600,2.0,No Info,10231
Spicejet,2019-06-03,Delhi,Cochin,,13:15:00,270,1.0,No Info,5830
Jet Airways,2019-05-06,Kolkata,Banglore,,,1630,1.0,In-flight meal not included,8066
Indigo,2019-06-15,Mumbai,Hyderabad,,22:50:00,90,0.0,No Info,2227
Air India,2019-03-06,Banglore,New Delhi,,19:50:00,480,1.0,No Info,14594
Multiple Carriers,2019-05-27,Delhi,Cochin,,21:00:00,840,1.0,No Info,7618
Indigo,2019-03-06,Chennai,Kolkata,,07:35:00,140,0.0,No Info,6482
Air Asia,2019-05-15,Delhi,Cochin,,22:25:00,340,1.0,No Info,6752
Jet Airways,2019-06-12,Kolkata,Banglore,,,730,1.0,No Info,12471
Jet Airways,2019-03-21,Banglore,New Delhi,,19:10:00,305,1.0,In-flight meal not included,7832
Air Asia,2019-03-21,Delhi,Cochin,,,660,1.0,No Info,6151
Jet Airways,2019-06-27,Delhi,Cochin,,,825,1.0,In-flight meal not included,10262
Multiple Carriers,2019-03-27,Delhi,Cochin,,19:15:00,510,1.0,No Info,7154
Multiple Carriers,2019-06-15,Delhi,Cochin,,19:15:00,470,1.0,No Info,8614
Jet Airways,2019-05-18,Delhi,Cochin,,19:00:00,810,2.0,No Info,15129
Goair,2019-05-01,Kolkata,Banglore,,,455,1.0,No Info,6484
Indigo,2019-04-09,Banglore,Delhi,,13:00:00,170,0.0,No Info,4423
Jet Airways,2019-05-27,Delhi,Cochin,,19:00:00,440,2.0,In-flight meal not included,19644
Jet Airways,2019-03-06,Banglore,New Delhi,,21:20:00,860,1.0,No Info,16736
Air India,2019-04-15,Kolkata,Banglore,,23:20:00,155,0.0,No Info,4145
Jet Airways,2019-03-27,Mumbai,Hyderabad,,04:25:00,90,0.0,No Info,5678
Air India,2019-03-03,Delhi,Cochin,,,965,1.0,No Info,16352
Indigo,2019-05-15,Delhi,Cochin,,07:25:00,325,1.0,No Info,8618
Jet Airways,2019-05-12,Kolkata,Banglore,,,1170,1.0,In-flight meal not included,10844
Jet Airways,2019-04-01,Kolkata,Banglore,,,585,1.0,No Info,12681
Air India,2019-03-12,Banglore,New Delhi,,,1655,2.0,No Info,11602
Jet Airways,2019-06-09,Delhi,Cochin,,,1015,1.0,In-flight meal not included,10262
Multiple Carriers,2019-06-24,Delhi,Cochin,,19:00:00,615,1.0,No Info,12524
Jet Airways,2019-03-09,Delhi,Cochin,,,1475,1.0,In-flight meal not included,14053
Indigo,2019-03-09,Banglore,New Delhi,,06:50:00,170,0.0,No Info,8033
Spicejet,2019-05-21,Chennai,Kolkata,,12:00:00,135,0.0,No check-in baggage included,3543
Jet Airways,2019-06-12,Delhi,Cochin,,14:15:00,195,0.0,No Info,9564
Jet Airways,2019-06-06,Kolkata,Banglore,,,730,1.0,No Info,14571
Indigo,2019-06-18,Chennai,Kolkata,,21:55:00,140,0.0,No Info,3597
Indigo,2019-03-06,Delhi,Cochin,,21:00:00,710,1.0,No Info,14871
Spicejet,2019-05-18,Mumbai,Hyderabad,,14:45:00,90,0.0,No Info,2227
Spicejet,2019-06-06,Chennai,Kolkata,,12:00:00,135,0.0,No check-in baggage included,3543
Jet Airways,2019-03-21,Delhi,Cochin,,,805,1.0,In-flight meal not included,6017
Multiple Carriers,2019-03-21,Delhi,Cochin,,,485,1.0,No Info,13542
Indigo,2019-06-03,Kolkata,Banglore,,18:05:00,155,0.0,No Info,4804
Jet Airways,2019-05-15,Kolkata,Banglore,,,1360,1.0,In-flight meal not included,10844
Jet Airways,2019-03-24,Kolkata,Banglore,,,975,1.0,In-flight meal not included,11134
Indigo,2019-03-09,Banglore,New Delhi,,04:15:00,165,0.0,No Info,6860
Indigo,2019-06-01,Delhi,Cochin,,07:45:00,345,1.0,No Info,6386
