airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-06-12,Kolkata,Banglore,,,775,1.0,In-flight meal not included,8529
Multiple Carriers,2019-05-21,Delhi,Cochin,,19:00:00,615,1.0,No Info,9794
Multiple Carriers,2019-06-12,Delhi,Cochin,,,435,1.0,No Info,13377
Air India,2019-05-21,Delhi,Cochin,,,2295,2.0,No Info,9968
Goair,2019-06-03,Delhi,Cochin,,13:35:00,370,1.0,No Info,6976
Indigo,2019-05-24,Kolkata,Banglore,,23:30:00,325,1.0,No Info,6218
Air India,2019-06-09,Kolkata,Banglore,,,1200,2.0,No Info,13007
Air India,2019-06-21,Delhi,Cochin,,21:10:00,185,0.0,No Info,5411
Air India,2019-03-06,Delhi,Cochin,,17:10:00,180,0.0,No Info,7931
Spicejet,2019-06-27,Kolkata,Banglore,,11:25:00,145,0.0,No Info,3873
Multiple Carriers,2019-03-21,Delhi,Cochin,,18:50:00,510,1.0,No Info,11999
Air India,2019-03-21,Delhi,Cochin,,19:15:00,375,1.0,No Info,7934
Jet Airways,2019-05-27,Delhi,Cochin,,,1395,1.0,In-flight meal not included,12898
Indigo,2019-06-06,Chennai,Kolkata,,21:55:00,140,0.0,No Info,3597
Multiple Carriers,2019-05-27,Delhi,Cochin,,,750,1.0,No Info,13377
Multiple Carriers,2019-06-03,Delhi,Cochin,,,435,1.0,No Info,13377
Jet Airways,2019-03-06,Banglore,New Delhi,,12:25:00,325,1.0,No Info,22270
Indigo,2019-06-27,Banglore,Delhi,,19:55:00,180,0.0,No Info,4823
Jet Airways,2019-04-24,Banglore,Delhi,,10:10:00,180,0.0,In-flight meal not included,6144
Spicejet,2019-04-06,Kolkata,Banglore,,09:30:00,155,0.0,No check-in baggage included,3841
Indigo,2019-06-15,Delhi,Cochin,,,345,1.0,No Info,6195
Vistara,2019-06-21,Chennai,Kolkata,,20:05:00,140,0.0,No Info,11982
Multiple Carriers,2019-03-06,Delhi,Cochin,,18:50:00,730,1.0,No Info,15135
Vistara,2019-05-01,Banglore,Delhi,,09:40:00,160,0.0,No Info,4668
Jet Airways,2019-06-15,Delhi,Cochin,,,1125,2.0,In-flight meal not included,10368
Indigo,2019-03-21,Delhi,Cochin,,22:20:00,370,1.0,No Info,6528
Multiple Carriers,2019-06-01,Delhi,Cochin,,19:00:00,600,1.0,No Info,12717
Jet Airways,2019-06-06,Kolkata,Banglore,,23:35:00,840,1.0,No Info,14151
Jet Airways,2019-05-21,Delhi,Cochin,,12:35:00,620,1.0,In-flight meal not included,12898
Air Asia,2019-05-21,Delhi,Cochin,,22:30:00,345,1.0,No Info,8028
Multiple Carriers,2019-03-27,Delhi,Cochin,,19:15:00,705,1.0,No Info,8371
Multiple Carriers,2019-06-27,Delhi,Cochin,,21:00:00,780,1.0,No Info,7408
Jet Airways,2019-06-21,Banglore,Delhi,,22:00:00,185,0.0,No Info,8541
Jet Airways,2019-05-27,Delhi,Cochin,,,505,2.0,In-flight meal not included,15318
Jet Airways,2019-03-06,Banglore,New Delhi,,,1265,1.0,No Info,14815
Indigo,2019-05-21,Banglore,Delhi,,13:00:00,170,0.0,No Info,3943
Multiple Carriers,2019-06-24,Delhi,Cochin,,19:00:00,690,1.0,No Info,10877
Multiple Carriers,2019-05-09,Delhi,Cochin,,21:00:00,480,1.0,No Info,13727
Vistara,2019-03-09,Chennai,Kolkata,,09:20:00,135,0.0,No Info,6627
Jet Airways,2019-03-12,Banglore,New Delhi,,23:00:00,960,1.0,No Info,13817
Jet Airways,2019-05-18,Delhi,Cochin,,19:00:00,810,2.0,No Info,15129
Jet Airways,2019-06-24,Delhi,Cochin,,,335,1.0,No Info,14714
Indigo,2019-05-18,Chennai,Kolkata,,14:00:00,145,0.0,No Info,4332
Jet Airways,2019-05-21,Kolkata,Banglore,,,1005,1.0,No Info,13067
Jet Airways,2019-06-09,Kolkata,Banglore,,,450,1.0,In-flight meal not included,8586
Spicejet,2019-05-09,Mumbai,Hyderabad,,14:45:00,90,0.0,No check-in baggage included,2175
Air Asia,2019-04-18,Banglore,Delhi,,07:45:00,170,0.0,No Info,4282
Multiple Carriers,2019-03-06,Delhi,Cochin,,21:00:00,480,1.0,No Info,15603
Jet Airways,2019-06-09,Delhi,Cochin,,,1375,2.0,In-flight meal not included,10368
Air Asia,2019-06-09,Banglore,Delhi,,,170,0.0,No Info,7120
Indigo,2019-03-27,Delhi,Cochin,,,845,1.0,No Info,6206
Vistara,2019-03-06,Chennai,Kolkata,,09:20:00,135,0.0,No Info,7414
Indigo,2019-05-27,Delhi,Cochin,,22:30:00,635,1.0,No Info,6442
Multiple Carriers,2019-05-27,Delhi,Cochin,,19:00:00,740,1.0,No Info,9315
Air India,2019-05-09,Delhi,Cochin,,,865,2.0,No Info,13039
Indigo,2019-03-18,Banglore,New Delhi,,,170,0.0,No Info,4545
Jet Airways,2019-03-21,Delhi,Cochin,,,335,1.0,In-flight meal not included,6017
Air India,2019-05-24,Kolkata,Banglore,,,1555,2.0,No Info,6117
Jet Airways,2019-06-24,Delhi,Cochin,,,610,1.0,In-flight meal not included,10262
Indigo,2019-06-27,Delhi,Cochin,,21:00:00,860,1.0,No Info,6093
Jet Airways,2019-05-12,Kolkata,Banglore,,,1495,1.0,In-flight meal not included,10844
Vistara,2019-05-21,Delhi,Cochin,,09:10:00,190,0.0,No Info,6741
Indigo,2019-05-15,Kolkata,Banglore,,,315,1.0,No Info,7228
Air India,2019-06-09,Banglore,Delhi,,23:55:00,170,0.0,No Info,5228
Jet Airways,2019-06-24,Delhi,Cochin,,,830,2.0,No Info,13376
Indigo,2019-05-01,Kolkata,Banglore,,18:05:00,155,0.0,No Info,4804
Air India,2019-03-21,Banglore,New Delhi,,,770,1.0,No Info,6955
Multiple Carriers,2019-06-24,Delhi,Cochin,,21:00:00,660,1.0,No Info,13587
Vistara,2019-06-15,Chennai,Kolkata,,20:05:00,140,0.0,No Info,11982
Air India,2019-05-06,Mumbai,Hyderabad,,15:25:00,90,0.0,No Info,3625
Indigo,2019-05-24,Chennai,Kolkata,,10:15:00,140,0.0,No Info,3850
Goair,2019-06-01,Delhi,Cochin,,13:35:00,370,1.0,No Info,6393
Air India,2019-05-15,Delhi,Cochin,,,865,2.0,No Info,13039
Jet Airways,2019-03-27,Delhi,Cochin,,,1225,1.0,No Info,12452
Air India,2019-03-03,Banglore,New Delhi,,,2105,2.0,No Info,11791
Vistara,2019-03-06,Mumbai,Hyderabad,,,1065,1.0,No Info,12395
Spicejet,2019-04-06,Kolkata,Banglore,,19:40:00,150,0.0,No check-in baggage included,3841
Indigo,2019-05-09,Mumbai,Hyderabad,,04:05:00,90,0.0,No Info,2754
Air India,2019-03-24,Banglore,New Delhi,,,1795,2.0,No Info,8114
Jet Airways,2019-06-06,Kolkata,Banglore,,,870,1.0,In-flight meal not included,10539
Air India,2019-06-27,Kolkata,Banglore,,16:45:00,150,0.0,No Info,5510
Jet Airways,2019-05-06,Kolkata,Banglore,,19:10:00,575,1.0,No Info,13067
Air India,2019-03-06,Delhi,Cochin,,,1545,2.0,No Info,14641
Multiple Carriers,2019-03-27,Delhi,Cochin,,18:50:00,485,1.0,No Info,11622
Jet Airways,2019-05-15,Kolkata,Banglore,,,730,1.0,In-flight meal not included,10844
Vistara,2019-06-18,Banglore,Delhi,,19:35:00,155,0.0,No Info,4878
Indigo,2019-06-03,Delhi,Cochin,,16:10:00,560,1.0,No Info,7514
Vistara,2019-05-24,Kolkata,Banglore,,,1440,1.0,No Info,9345
Spicejet,2019-03-09,Kolkata,Banglore,,11:30:00,150,0.0,No Info,5515
Spicejet,2019-05-09,Kolkata,Banglore,,21:25:00,330,1.0,No Info,8224
Air India,2019-03-24,Banglore,New Delhi,,19:45:00,165,0.0,No Info,5176
Jet Airways,2019-04-01,Mumbai,Hyderabad,,04:20:00,85,0.0,In-flight meal not included,2228
Jet Airways,2019-06-24,Delhi,Cochin,,,505,2.0,In-flight meal not included,12410
Multiple Carriers,2019-06-15,Delhi,Cochin,,,750,1.0,No Info,7198
Indigo,2019-04-03,Kolkata,Banglore,,14:05:00,155,0.0,No Info,4174
Jet Airways,2019-05-18,Kolkata,Banglore,,22:05:00,750,1.0,In-flight meal not included,12384
Multiple Carriers,2019-03-09,Delhi,Cochin,,12:55:00,535,1.0,No Info,16259
Vistara,2019-06-12,Kolkata,Banglore,,,1440,1.0,No Info,8085
Vistara,2019-05-01,Banglore,Delhi,,12:35:00,170,0.0,No Info,4668
Indigo,2019-03-06,Mumbai,Hyderabad,,18:25:00,90,0.0,No Info,4784
Jet Airways,2019-06-27,Delhi,Cochin,,12:35:00,620,1.0,In-flight meal not included,10262
Goair,2019-05-06,Kolkata,Banglore,,,495,1.0,No Info,7451
Indigo,2019-05-01,Kolkata,Banglore,,14:15:00,295,1.0,No Info,8443
Indigo,2019-06-15,Banglore,Delhi,,08:50:00,165,0.0,No Info,4423
Air India,2019-03-03,Delhi,Cochin,,,1560,2.0,No Info,13442
Jet Airways,2019-03-24,Mumbai,Hyderabad,,04:25:00,90,0.0,In-flight meal not included,2071
Jet Airways,2019-05-21,Kolkata,Banglore,,21:05:00,690,1.0,No Info,14151
Jet Airways,2019-04-03,Banglore,Delhi,,22:00:00,185,0.0,In-flight meal not included,4544
Spicejet,2019-03-24,Banglore,New Delhi,,23:20:00,170,0.0,No Info,5575
Jet Airways,2019-06-27,Delhi,Cochin,,19:00:00,715,1.0,In-flight meal not included,10262
Air India,2019-05-01,Kolkata,Banglore,,,1665,2.0,No Info,15164
Spicejet,2019-04-01,Banglore,Delhi,,08:35:00,160,0.0,No Info,3971
Indigo,2019-06-12,Banglore,Delhi,,21:50:00,175,0.0,No Info,4823
Jet Airways,2019-03-27,Delhi,Cochin,,18:50:00,440,1.0,No Info,12242
Vistara,2019-06-01,Chennai,Kolkata,,09:20:00,135,0.0,No Info,3687
Air India,2019-05-06,Kolkata,Banglore,,18:30:00,545,1.0,No Info,8891
Jet Airways,2019-05-24,Kolkata,Banglore,,18:15:00,705,1.0,In-flight meal not included,10844
Indigo,2019-05-21,Banglore,Delhi,,10:05:00,175,0.0,No Info,4823
Indigo,2019-06-03,Delhi,Cochin,,17:40:00,195,0.0,No Info,6015
Air India,2019-05-18,Banglore,Delhi,,16:10:00,170,0.0,No Info,6121
Spicejet,2019-03-24,Chennai,Kolkata,,12:05:00,155,0.0,No check-in baggage included,3807
Indigo,2019-03-03,Mumbai,Hyderabad,,22:45:00,85,0.0,No Info,4784
Indigo,2019-04-24,Delhi,Cochin,,21:00:00,965,1.0,No Info,6162
Jet Airways,2019-05-09,Delhi,Cochin,,,1395,1.0,In-flight meal not included,12373
Spicejet,2019-03-12,Chennai,Kolkata,,10:35:00,135,0.0,No Info,6300
Spicejet,2019-05-01,Kolkata,Banglore,,,140,0.0,No Info,3873
Jet Airways,2019-06-21,Banglore,Delhi,,20:45:00,180,0.0,No Info,8541
Jet Airways,2019-05-15,Kolkata,Banglore,,,1295,1.0,No Info,14151
Jet Airways,2019-05-15,Delhi,Cochin,,12:35:00,620,1.0,In-flight meal not included,12373
Indigo,2019-06-03,Banglore,Delhi,,,170,0.0,No Info,3359
Air India,2019-05-21,Delhi,Cochin,,19:15:00,375,1.0,No Info,8372
Indigo,2019-04-03,Banglore,Delhi,,22:50:00,170,0.0,No Info,4823
Air India,2019-04-01,Kolkata,Banglore,,,970,2.0,No Info,9920
Vistara,2019-04-06,Banglore,Delhi,,22:15:00,165,0.0,No Info,5613
Multiple Carriers,2019-05-18,Delhi,Cochin,,19:00:00,660,1.0,No Info,10197
Jet Airways,2019-06-12,Kolkata,Banglore,,,800,1.0,In-flight meal not included,10539
Jet Airways,2019-05-12,Kolkata,Banglore,,,1685,1.0,In-flight meal not included,10703
Air India,2019-06-12,Delhi,Cochin,,,1590,1.0,No Info,8907
Jet Airways,2019-06-06,Delhi,Cochin,,12:35:00,425,2.0,No Info,14441
Spicejet,2019-06-09,Kolkata,Banglore,,,140,0.0,No check-in baggage included,3841
Jet Airways,2019-04-15,Banglore,Delhi,,20:45:00,180,0.0,In-flight meal not included,4544
Indigo,2019-05-27,Mumbai,Hyderabad,,18:25:00,90,0.0,No Info,3175
Jet Airways,2019-04-01,Kolkata,Banglore,,20:45:00,740,1.0,In-flight meal not included,7064
Spicejet,2019-03-03,Kolkata,Banglore,,19:45:00,150,0.0,No Info,6251
Multiple Carriers,2019-05-27,Delhi,Cochin,,19:15:00,795,1.0,No Info,10786
Vistara,2019-05-24,Kolkata,Banglore,,,1350,1.0,No Info,9345
Indigo,2019-06-24,Delhi,Cochin,,,415,1.0,No Info,5883
Jet Airways,2019-06-24,Delhi,Cochin,,,830,2.0,No Info,13376
Jet Airways,2019-06-09,Delhi,Cochin,,,1530,1.0,In-flight meal not included,10262
Jet Airways,2019-05-21,Kolkata,Banglore,,19:50:00,685,1.0,In-flight meal not included,10844
Air India,2019-03-12,Banglore,New Delhi,,,1710,2.0,No Info,12734
Air India,2019-05-21,Banglore,Delhi,,23:55:00,170,0.0,No Info,5228
Indigo,2019-03-09,Banglore,New Delhi,,22:55:00,175,0.0,No Info,6144
Jet Airways,2019-04-09,Delhi,Cochin,,,1195,2.0,No Info,9483
Jet Airways,2019-05-06,Mumbai,Hyderabad,,04:20:00,85,0.0,In-flight meal not included,3210
Jet Airways,2019-04-01,Kolkata,Banglore,,19:10:00,575,1.0,In-flight meal not included,9314
Multiple Carriers,2019-03-21,Delhi,Cochin,,21:00:00,725,1.0,No Info,9845
Jet Airways,2019-05-24,Kolkata,Banglore,,,800,1.0,No Info,13067
Air India,2019-06-12,Banglore,Delhi,,12:45:00,165,0.0,No Info,6961
Air India,2019-05-18,Delhi,Cochin,,,965,1.0,No Info,7690
Jet Airways,2019-06-01,Delhi,Cochin,,,610,1.0,No Info,14714
Indigo,2019-04-27,Delhi,Cochin,,08:50:00,195,0.0,No Info,6015
Air Asia,2019-03-06,Delhi,Cochin,,,660,1.0,No Info,8627
Indigo,2019-06-03,Delhi,Cochin,,08:50:00,195,0.0,No Info,5601
Multiple Carriers,2019-06-15,Delhi,Cochin,,19:15:00,555,1.0,No Info,16108
Jet Airways,2019-03-24,Mumbai,Hyderabad,,11:50:00,90,0.0,No Info,5678
Multiple Carriers,2019-03-09,Delhi,Cochin,,19:15:00,755,1.0,No Info,13082
Indigo,2019-03-27,Chennai,Kolkata,,,140,0.0,No Info,5277
Indigo,2019-03-03,Delhi,Cochin,,13:20:00,515,1.0,No Info,14871
Air Asia,2019-05-24,Kolkata,Banglore,,23:30:00,955,1.0,No Info,5192
Air India,2019-05-09,Kolkata,Banglore,,,920,2.0,No Info,13033
Indigo,2019-06-12,Chennai,Kolkata,,07:40:00,145,0.0,No Info,3540
Goair,2019-03-27,Delhi,Cochin,,13:20:00,440,1.0,No Info,4563
Indigo,2019-03-24,Chennai,Kolkata,,21:55:00,140,0.0,No Info,7295
Jet Airways,2019-06-06,Delhi,Cochin,,12:35:00,330,1.0,In-flight meal not included,10262
Jet Airways,2019-05-27,Delhi,Cochin,,,1045,2.0,No Info,15129
Air India,2019-03-03,Banglore,New Delhi,,12:55:00,425,1.0,No Info,12389
Jet Airways,2019-03-18,Banglore,New Delhi,,,565,1.0,In-flight meal not included,11087
Indigo,2019-05-27,Delhi,Cochin,,12:30:00,315,1.0,No Info,5636
Jet Airways,2019-06-06,Kolkata,Banglore,,22:05:00,750,1.0,No Info,14151
Jet Airways,2019-05-18,Delhi,Cochin,,,1615,2.0,No Info,15129
Multiple Carriers,2019-03-03,Delhi,Cochin,,15:30:00,795,1.0,No Info,17057
Jet Airways,2019-05-24,Kolkata,Banglore,,20:45:00,400,1.0,In-flight meal not included,10844
Jet Airways,2019-06-06,Delhi,Cochin,,,830,2.0,No Info,13376
Multiple Carriers,2019-05-27,Delhi,Cochin,,19:15:00,555,1.0,In-flight meal not included,11446
Jet Airways,2019-06-12,Delhi,Cochin,,,830,2.0,In-flight meal not included,10919
Jet Airways,2019-06-18,Delhi,Cochin,,13:05:00,195,0.0,In-flight meal not included,4466
Multiple Carriers,2019-06-27,Delhi,Cochin,,19:00:00,720,1.0,No Info,12192
Jet Airways,2019-05-18,Delhi,Cochin,,,1045,2.0,No Info,15129
Multiple Carriers,2019-03-06,Delhi,Cochin,,13:20:00,375,1.0,No Info,17267
Air India,2019-03-24,Kolkata,Banglore,,,960,1.0,No Info,12173
Spicejet,2019-03-18,Chennai,Kolkata,,12:05:00,155,0.0,No Info,3859
Vistara,2019-05-06,Chennai,Kolkata,,09:20:00,135,0.0,No Info,3687
Air India,2019-03-01,Banglore,New Delhi,,,1705,2.0,No Info,20999
Jet Airways,2019-03-27,Delhi,Cochin,,18:50:00,650,1.0,In-flight meal not included,6068
Jet Airways,2019-06-06,Delhi,Cochin,,19:00:00,300,1.0,In-flight meal not included,10262
Air India,2019-05-27,Delhi,Cochin,,,1595,2.0,No Info,9968
Air India,2019-06-06,Delhi,Cochin,,,1470,2.0,No Info,13465
Jet Airways,2019-06-15,Delhi,Cochin,,19:00:00,360,1.0,No Info,14714
Spicejet,2019-04-24,Banglore,Delhi,,,175,0.0,No check-in baggage included,3573
Jet Airways,2019-03-03,Banglore,New Delhi,,,1420,1.0,In-flight meal not included,13502
Jet Airways,2019-06-12,Kolkata,Banglore,,21:05:00,690,1.0,No Info,12692
Indigo,2019-05-06,Chennai,Kolkata,,07:40:00,145,0.0,No Info,3540
Air Asia,2019-06-01,Banglore,Delhi,,13:55:00,165,0.0,No Info,4483
Multiple Carriers,2019-03-21,Delhi,Cochin,,18:50:00,580,1.0,No Info,13069
Jet Airways,2019-05-09,Delhi,Cochin,,,900,2.0,No Info,16704
Jet Airways,2019-05-06,Kolkata,Banglore,,18:15:00,590,1.0,No Info,14781
Indigo,2019-03-21,Banglore,New Delhi,,15:50:00,170,0.0,No Info,5694
Air Asia,2019-06-09,Delhi,Cochin,,22:25:00,340,1.0,No Info,13470
Jet Airways,2019-05-18,Delhi,Cochin,,,1775,2.0,No Info,16704
Jet Airways,2019-03-03,Delhi,Cochin,,,870,1.0,No Info,17024
Multiple Carriers,2019-03-06,Delhi,Cochin,,,485,1.0,No Info,17057
Jet Airways,2019-06-06,Mumbai,Hyderabad,,04:20:00,85,0.0,No Info,5678
Jet Airways,2019-03-21,Delhi,Cochin,,,1420,2.0,No Info,9483
Goair,2019-06-01,Delhi,Cochin,,19:35:00,310,1.0,No Info,10651
